community,community_area,population,category,total19,total20,total21,total22,total23,total24,total25,total26,last12mos,total_prior3years,avg_prior3years,inc_19to25,inc_19tolast12,inc_25tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate24,rate25,rate_last12,rate_prior3years
Douglas,35,20000,Robbery,85,82,84,70,74,72,58,16,60,204,68,-31.8,-29.4,3.4,-12,425,410,420,350,370,360,290,300,340
Oakland,36,7000,Robbery,22,20,32,20,37,23,14,3,12,74,24.7,-36.4,-45.5,-14.3,-51,314.3,285.7,457.1,285.7,528.6,328.6,200,171.4,352.9
Fuller Park,37,3000,Robbery,49,48,30,30,31,63,56,17,53,150,50,14.3,8.2,-5.4,6,1633.3,1600,1000,1000,1033.3,2100,1866.7,1766.7,1666.7
Grand Boulevard,38,25000,Robbery,97,83,100,118,122,91,65,13,55,278,92.7,-33,-43.3,-15.4,-41,388,332,400,472,488,364,260,220,370.8
Kenwood,39,19000,Robbery,42,36,74,57,100,58,31,5,28,189,63,-26.2,-33.3,-9.7,-56,221.1,189.5,389.5,300,526.3,305.3,163.2,147.4,331.6
Lincoln Square,4,40000,Robbery,28,33,42,36,57,49,26,4,23,132,44,-7.1,-17.9,-11.5,-48,70,82.5,105,90,142.5,122.5,65,57.5,110
Washington Park,40,13000,Robbery,66,55,55,76,93,64,43,19,47,200,66.7,-34.8,-28.8,9.3,-30,507.7,423.1,423.1,584.6,715.4,492.3,330.8,361.5,513.1
Hyde Park,41,29000,Robbery,72,81,97,130,155,88,50,8,38,293,97.7,-30.6,-47.2,-24,-61,248.3,279.3,334.5,448.3,534.5,303.4,172.4,131,336.9
Woodlawn,42,24000,Robbery,133,98,86,114,108,113,81,27,88,302,100.7,-39.1,-33.8,8.6,-13,554.2,408.3,358.3,475,450,470.8,337.5,366.7,419.6
Rogers Park,1,55000,Robbery,112,115,169,135,117,116,90,23,83,323,107.7,-19.6,-25.9,-7.8,-23,203.6,209.1,307.3,245.5,212.7,210.9,163.6,150.9,195.8
