ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12943607,JG106063,01/06/2023 02:22:00 AM,002XX S LAVERGNE AVE,0313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,SIDEWALK,false,false,1533,015,28,25,03,1143289,1898790,2023,01/13/2023 03:49:35 PM,41.878317645,-87.74934071,"(41.878317645, -87.74934071)"
12943730,JG106158,01/06/2023 12:00:00 AM,018XX N WILMOT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1434,014,32,22,14,1161051,1912452,2023,01/13/2023 03:49:35 PM,41.915457116,-87.683742517,"(41.915457116, -87.683742517)"
12944080,JG106206,01/06/2023 08:25:00 AM,050XX W QUINCY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,1533,015,28,25,14,1142786,1898531,2023,01/13/2023 03:49:35 PM,41.877616294,-87.751194088,"(41.877616294, -87.751194088)"
12944580,JG107088,01/06/2023 08:17:00 PM,047XX W VAN BUREN ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,1131,011,28,25,24,1144761,1897604,2023,01/13/2023 03:49:35 PM,41.875035504,-87.74396569,"(41.875035504, -87.74396569)"
12944435,JG107020,01/06/2023 07:20:00 PM,003XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,STREET,false,false,0111,001,42,32,08B,1177263,1902734,2023,01/13/2023 03:49:35 PM,41.888438092,-87.624476665,"(41.888438092, -87.624476665)"
12944736,JG107162,01/06/2023 05:00:00 PM,009XX N HOYNE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1212,012,2,24,14,1162238,1906069,2023,01/13/2023 03:49:35 PM,41.897916938,-87.679560323,"(41.897916938, -87.679560323)"
12945857,JG108596,01/06/2023 07:45:00 PM,011XX N MILWAUKEE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,1213,012,2,24,14,1166511,1907461,2023,01/13/2023 03:49:35 PM,41.901646258,-87.663826163,"(41.901646258, -87.663826163)"
12946340,JG109132,01/06/2023 12:30:00 PM,016XX W WARREN BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1224,012,27,28,07,1165507,1900427,2023,01/13/2023 03:49:35 PM,41.88236588,-87.667714386,"(41.88236588, -87.667714386)"
12946841,JG109732,01/06/2023 03:00:00 PM,026XX N STOCKTON DR,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1935,019,43,7,07,1173242,1917964,2023,01/13/2023 03:49:35 PM,41.930320171,-87.638790189,"(41.930320171, -87.638790189)"
12943992,JG106256,01/06/2023 09:05:00 AM,071XX S RIDGELAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0324,003,7,43,08B,1189101,1858091,2023,01/13/2023 03:49:35 PM,41.765658681,-87.582437025,"(41.765658681, -87.582437025)"
