category,month,count,rollavg_3month
Criminal Sexual Assault,2019-01-01,188,NA
Criminal Sexual Assault,2019-02-01,130,NA
Criminal Sexual Assault,2019-03-01,135,151
Criminal Sexual Assault,2019-04-01,142,136
Criminal Sexual Assault,2019-05-01,182,153
Criminal Sexual Assault,2019-06-01,149,158
Criminal Sexual Assault,2019-07-01,191,174
Criminal Sexual Assault,2019-08-01,179,173
Criminal Sexual Assault,2019-09-01,163,178
Criminal Sexual Assault,2019-10-01,161,168
Criminal Sexual Assault,2019-11-01,136,153
Criminal Sexual Assault,2019-12-01,136,144
Criminal Sexual Assault,2020-01-01,183,152
Criminal Sexual Assault,2020-02-01,140,153
Criminal Sexual Assault,2020-03-01,123,149
Criminal Sexual Assault,2020-04-01,74,112
Criminal Sexual Assault,2020-05-01,108,102
Criminal Sexual Assault,2020-06-01,118,100
Criminal Sexual Assault,2020-07-01,139,122
Criminal Sexual Assault,2020-08-01,122,126
Criminal Sexual Assault,2020-09-01,120,127
Criminal Sexual Assault,2020-10-01,121,121
Criminal Sexual Assault,2020-11-01,119,120
Criminal Sexual Assault,2020-12-01,101,114
Criminal Sexual Assault,2021-01-01,111,110
Criminal Sexual Assault,2021-02-01,114,109
Criminal Sexual Assault,2021-03-01,143,123
Criminal Sexual Assault,2021-04-01,129,129
Criminal Sexual Assault,2021-05-01,154,142
Criminal Sexual Assault,2021-06-01,165,149
Criminal Sexual Assault,2021-07-01,158,159
Criminal Sexual Assault,2021-08-01,155,159
Criminal Sexual Assault,2021-09-01,147,153
Criminal Sexual Assault,2021-10-01,147,150
Criminal Sexual Assault,2021-11-01,139,144
Criminal Sexual Assault,2021-12-01,139,142
Criminal Sexual Assault,2022-01-01,140,139
Criminal Sexual Assault,2022-02-01,139,139
Criminal Sexual Assault,2022-03-01,142,140
Criminal Sexual Assault,2022-04-01,154,145
Criminal Sexual Assault,2022-05-01,170,155
Criminal Sexual Assault,2022-06-01,161,162
Criminal Sexual Assault,2022-07-01,189,173
Criminal Sexual Assault,2022-08-01,162,171
Criminal Sexual Assault,2022-09-01,154,168
Criminal Sexual Assault,2022-10-01,181,166
Criminal Sexual Assault,2022-11-01,134,156
Criminal Sexual Assault,2022-12-01,117,144
Criminal Sexual Assault,2023-01-01,161,137
Criminal Sexual Assault,2023-02-01,129,136
Criminal Sexual Assault,2023-03-01,138,143
Criminal Sexual Assault,2023-04-01,140,136
Criminal Sexual Assault,2023-05-01,181,153
Criminal Sexual Assault,2023-06-01,169,163
Criminal Sexual Assault,2023-07-01,179,176
Criminal Sexual Assault,2023-08-01,174,174
Criminal Sexual Assault,2023-09-01,156,170
Criminal Sexual Assault,2023-10-01,158,163
Criminal Sexual Assault,2023-11-01,169,161
Criminal Sexual Assault,2023-12-01,117,148
Criminal Sexual Assault,2024-01-01,140,142
Criminal Sexual Assault,2024-02-01,140,132
Criminal Sexual Assault,2024-03-01,131,137
Criminal Sexual Assault,2024-04-01,138,136
Criminal Sexual Assault,2024-05-01,149,139
Criminal Sexual Assault,2024-06-01,162,150
Criminal Sexual Assault,2024-07-01,160,157
Criminal Sexual Assault,2024-08-01,188,170
Criminal Sexual Assault,2024-09-01,162,170
Criminal Sexual Assault,2024-10-01,131,160
Criminal Sexual Assault,2024-11-01,141,145
Criminal Sexual Assault,2024-12-01,138,137
Criminal Sexual Assault,2025-01-01,140,140
Criminal Sexual Assault,2025-02-01,111,130
Criminal Sexual Assault,2025-03-01,169,140
Criminal Sexual Assault,2025-04-01,155,145
Criminal Sexual Assault,2025-05-01,147,157
Criminal Sexual Assault,2025-06-01,153,152
Criminal Sexual Assault,2025-07-01,152,151
Criminal Sexual Assault,2025-08-01,135,147
