category,month,count,rollavg_3month
Criminal Sexual Assault,2019-01-01,188,NA
Criminal Sexual Assault,2019-02-01,130,NA
Criminal Sexual Assault,2019-03-01,135,151
Criminal Sexual Assault,2019-04-01,142,136
Criminal Sexual Assault,2019-05-01,182,153
Criminal Sexual Assault,2019-06-01,149,158
Criminal Sexual Assault,2019-07-01,191,174
Criminal Sexual Assault,2019-08-01,179,173
Criminal Sexual Assault,2019-09-01,163,178
Criminal Sexual Assault,2019-10-01,161,168
Criminal Sexual Assault,2019-11-01,136,153
Criminal Sexual Assault,2019-12-01,136,144
Criminal Sexual Assault,2020-01-01,183,152
Criminal Sexual Assault,2020-02-01,140,153
Criminal Sexual Assault,2020-03-01,123,149
Criminal Sexual Assault,2020-04-01,74,112
Criminal Sexual Assault,2020-05-01,108,102
Criminal Sexual Assault,2020-06-01,118,100
Criminal Sexual Assault,2020-07-01,139,122
Criminal Sexual Assault,2020-08-01,122,126
Criminal Sexual Assault,2020-09-01,120,127
Criminal Sexual Assault,2020-10-01,121,121
Criminal Sexual Assault,2020-11-01,119,120
Criminal Sexual Assault,2020-12-01,101,114
Criminal Sexual Assault,2021-01-01,111,110
Criminal Sexual Assault,2021-02-01,114,109
Criminal Sexual Assault,2021-03-01,143,123
Criminal Sexual Assault,2021-04-01,129,129
Criminal Sexual Assault,2021-05-01,154,142
Criminal Sexual Assault,2021-06-01,165,149
Criminal Sexual Assault,2021-07-01,158,159
Criminal Sexual Assault,2021-08-01,155,159
Criminal Sexual Assault,2021-09-01,147,153
Criminal Sexual Assault,2021-10-01,147,150
Criminal Sexual Assault,2021-11-01,139,144
Criminal Sexual Assault,2021-12-01,139,142
Criminal Sexual Assault,2022-01-01,121,133
Criminal Sexual Assault,2022-02-01,139,133
Criminal Sexual Assault,2022-03-01,138,133
Criminal Sexual Assault,2022-04-01,147,141
Criminal Sexual Assault,2022-05-01,162,149
Criminal Sexual Assault,2022-06-01,148,152
Criminal Sexual Assault,2022-07-01,184,165
Criminal Sexual Assault,2022-08-01,159,164
Criminal Sexual Assault,2022-09-01,155,166
Criminal Sexual Assault,2022-10-01,179,164
Criminal Sexual Assault,2022-11-01,130,155
Criminal Sexual Assault,2022-12-01,110,140
Criminal Sexual Assault,2023-01-01,145,128
Criminal Sexual Assault,2023-02-01,125,127
Criminal Sexual Assault,2023-03-01,133,134
Criminal Sexual Assault,2023-04-01,139,132
Criminal Sexual Assault,2023-05-01,170,147
Criminal Sexual Assault,2023-06-01,155,155
Criminal Sexual Assault,2023-07-01,171,165
Criminal Sexual Assault,2023-08-01,161,162
Criminal Sexual Assault,2023-09-01,7,113
